BINCODE	GO.TERM
10.2.1.1	GO:0072521
10.2.1.1	GO:0072522
10.2.1.1	GO:0097164
10.2.1.1	GO:1901135
10.2.1.1	GO:1901137
10.2.1.1	GO:1901360
10.2.1.1	GO:1901362
10.2.1.1	GO:1901564
10.2.1.1	GO:1901566
10.2.1.1	GO:1901576
10.2.1.1	GO:1901657
10.2.1.1	GO:1901659
10.2.1.2	GO:0003674
10.2.1.2	GO:0003824
10.2.1.2	GO:0004766
10.2.1.2	GO:0006576
10.2.1.2	GO:0006595
10.2.1.2	GO:0006596
10.2.1.2	GO:0006807
10.2.1.2	GO:0008150
10.2.1.2	GO:0008152
10.2.1.2	GO:0008216
10.2.1.2	GO:0008295
10.2.1.2	GO:0009058
10.2.1.2	GO:0009308
10.2.1.2	GO:0009309
10.2.1.2	GO:0009987
10.2.1.2	GO:0016740
10.2.1.2	GO:0016765
10.2.1.2	GO:0034641
10.2.1.2	GO:0042401
10.2.1.2	GO:0044106
10.2.1.2	GO:0044237
10.2.1.2	GO:0044249
10.2.1.2	GO:0044271
10.2.1.2	GO:0071704
10.2.1.2	GO:0097164
10.2.1.2	GO:1901564
10.2.1.2	GO:1901566
10.2.1.2	GO:1901576
10.2.1.4	GO:0003674
10.2.1.4	GO:0003824
10.2.1.4	GO:0005575
10.2.1.4	GO:0005737
10.2.1.4	GO:0006576
10.2.1.4	GO:0006595
10.2.1.4	GO:0006596
10.2.1.4	GO:0006807
10.2.1.4	GO:0006810
10.2.1.4	GO:0008150
10.2.1.4	GO:0008152
10.2.1.4	GO:0009058
10.2.1.4	GO:0009308
10.2.1.4	GO:0009309
10.2.1.4	GO:0009888
10.2.1.4	GO:0009914
10.2.1.4	GO:0009926
10.2.1.4	GO:0009987
10.2.1.4	GO:0010087
10.2.1.4	GO:0010487
10.2.1.4	GO:0010817
10.2.1.4	GO:0016740
10.2.1.4	GO:0016765
10.2.1.4	GO:0016768
10.2.1.4	GO:0030154
10.2.1.4	GO:0032502
10.2.1.4	GO:0034641
10.2.1.4	GO:0042401
10.2.1.4	GO:0044106
10.2.1.4	GO:0044237
10.2.1.4	GO:0044249
10.2.1.4	GO:0044271
10.2.1.4	GO:0044424
10.2.1.4	GO:0044464
10.2.1.4	GO:0048759
10.2.1.4	GO:0048856
10.2.1.4	GO:0048869
10.2.1.4	GO:0051179
10.2.1.4	GO:0051234
10.2.1.4	GO:0060918
10.2.1.4	GO:0065007
10.2.1.4	GO:0065008
10.2.1.4	GO:0071704
10.2.1.4	GO:1901564
10.2.1.4	GO:1901566
10.2.1.4	GO:1901576
10.2.1.4	GO:1905177
10.2.2.1	GO:0000166
10.2.2.1	GO:0003674
10.2.2.1	GO:0003824
10.2.2.1	GO:0005488
10.2.2.1	GO:0006576
10.2.2.1	GO:0006595
10.2.2.1	GO:0006598
10.2.2.1	GO:0006807
10.2.2.1	GO:0008150
10.2.2.1	GO:0008152
10.2.2.1	GO:0008215
10.2.2.1	GO:0009056
10.2.2.1	GO:0009308
10.2.2.1	GO:0009310
10.2.2.1	GO:0009987
10.2.2.1	GO:0016491
10.2.2.1	GO:0016645
